序号,性别,身高(cm),体重(kg),脚长(mm),尺码,注：鞋码标准见右侧,尺码,脚长(mm),
1,男,183,70,250,40,,34,220,
2,男,186,73,270,44,,35,225,
3,男,176,66,260,42,,36,230,
4,男,170,70,255,41,,37,235,
5,女,160,60,240,38,,38,240,
6,女,"165
",63,245,39,,39,245,
7,女,158,48,225,35,,40,250,
8,女,168,52,240,38,,41,255,
9,女,165,48,235,37,,42,260,
10,女,158,88,230,36,,43,265,
11,女,164,58,235,37,,44,270,
12,女,165,60,235,37,,45,275,
13,男,165,73,245,39,,,,
14,男,182,75,265,41.5,,,,
15,男,185,63,260,42,,,,
16,女,162,51,240,38,,,,
17,女,158,93,230,36,,,,
18,男,181,62,255,42,,,,
19,男,177,65,260,42,,,,
20,男,169,58,260,42,,,,
21,女,190,85,100,50,,,,
22,女,164,51,245,39,,,,
23,男,178,97,270,44,,,,
24,男,166,49,250,40,,,,
25,女,162,45,240,38,,,,
26,女,160,46,235,37,,,,
27,男,180,88,275,45,,,,
28,男,186,65,265,43,,,,
29,女,161,48,235,37,,,,
30,男,179,74,258,41.5,,,,
31,男,175,55,260,42,,,,
32,男,178.5,77,260,42,,,,
33,男,178,78,270,44,,,,
34,女,176,108,250,40,,,,
35,女,160,56,235,37,,,,
36,男,175,55,248,40,,,,
37,女,163,63,245,39,,,,
38,男,188,75,270,44,,,,
39,女,157,52,235,37,,,,
40,男,182,99,271,44,,,,
41,女,157,56,240,38,,,,
42,男,173,76,255,41,,,,
